KEY,English,Russian
Level,Level,Уровень
SPIDER,SPIDER,ПАУЧОК
lsStars,"Collect stars: ", "Соберите звезд: "
lsTime,"Beat the time", "Успейте за время"
lsWeb,"Use web: ", "Используйте \nпаутинку: "
lsSluggish,"Don't use sluggish", "Не используйте \nлизуна"
lsDestroyer,"Don't use destroyer", "Не используйте \ndestroyer"
lsYeti,"Don't use yeti", "Не используйте \nйети"
lsGroot,"Don't use groot", "Не используйте \nгрута"
lsEnergyMenu, "Next energy:", "Следующая энергия:"
marketNotCoinsMenu, "Not enought coins!", "Недостаточно монет!"
marketNotCoinsMenu2, "You can always buy more in the store!", "Вы всегда можете купить их в магазине!"
marketNotCoinsMenu3, "Buy more", "Купить больше"
marketThanksMenu, "Thanks!", "Спасибо!"
marketCoins, "Coins", "Монеты"
marketHints, "Hints", "Подсказки"
marketCustomization, "Customization", "Персонализация"
